dataset,seed,metric,metric_desirability,anchor_main_effect_raw,generation_main_effect_raw,interaction_raw,anchor_main_effect_benefit_aligned,generation_main_effect_benefit_aligned,interaction_benefit_aligned,decomposition_label
ember,51,forgetting,lower_is_better,-0.6771207555388058,-0.2030031539162524,0.4808215217242696,0.6771207555388058,0.2030031539162524,-0.4808215217242696,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,bwt,higher_is_better,0.6795035018654779,0.20323950758958026,-0.4803488143776139,0.6795035018654779,0.20323950758958026,-0.4803488143776139,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,acquisition,higher_is_better,-0.10724543778374834,0.0043928385075648335,0.03901581514895558,-0.10724543778374834,0.0043928385075648335,0.03901581514895558,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,final_old_task_accuracy,higher_is_better,0.5653651954289827,0.20788320457101722,-0.439315806155974,0.5653651954289827,0.20788320457101722,-0.439315806155974,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,final_new_task_accuracy,higher_is_better,-0.03831675125628148,0.001884253768844213,0.01884388442211049,-0.03831675125628148,0.001884253768844213,0.01884388442211049,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,macro_f1,higher_is_better,0.6033583679431271,0.10420922176596853,-0.22708717444177162,0.6033583679431271,0.10420922176596853,-0.22708717444177162,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,weighted_f1,higher_is_better,0.6889934543079208,0.11159354682575805,-0.246196890266936,0.6889934543079208,0.11159354682575805,-0.246196890266936,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,balanced_accuracy,higher_is_better,0.6269347117728065,0.1123154760856744,-0.23708316622022177,0.6269347117728065,0.1123154760856744,-0.23708316622022177,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,42,final_tm_accuracy,higher_is_better,0.6105590581172755,0.030112396428179027,-0.07455938896182378,0.6105590581172755,0.030112396428179027,-0.07455938896182378,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
az_class,42,tm_aia,higher_is_better,0.42562094057560307,0.1176189523340126,-0.2308764187151574,0.42562094057560307,0.1176189523340126,-0.2308764187151574,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
