dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz,paired_t_p_value,paired_t_holm_p_value,paired_t_holm_reject_0_05
ember,ablation,25,new_class_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.9446125601107338,0.9782510766942568,-0.033638516583523015,-3.438638339882596,-0.0732013966030543,0.005924363436008273,-1.0557303961218454,0.07760491626112247,1.0,False
ember,ablation,25,mean_acc_seen,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7950161615475182,0.472794215530649,0.32222194601686915,68.1526836480471,0.2602954379707606,0.3841484540629777,6.4607452030462875,0.00013345474293397072,0.013745838522198984,True
ember,ablation,25,final_taskwise_average_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7427515336287188,0.4204770222965541,0.3222745113321646,76.64497564503559,0.26252900230358117,0.38202002036074806,6.697685981190936,0.00011580110901956853,0.0125065197741134,True
ember,ablation,25,forgetting,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.182218153266521,0.583958244686044,-0.401740091419523,68.79603037979406,-0.46484398071263644,-0.33863620212640955,-7.904840949401641,6.0176666515838053e-05,0.007247277635133197,True
ember,ablation,25,macro_f1,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.6739005211289539,0.2521061515874576,0.4217943695414963,167.30824174084964,0.3878914724671903,0.4556972666158023,15.447850434635788,4.190987543910417e-06,0.000653794056850025,True
ember,ablation,25,balanced_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.7350179007049255,0.29176968850515206,0.4432482121997733,151.91715577814264,0.41098555385160185,0.4755108705479447,17.05889643119983,2.821111649578012e-06,0.0004457356406333259,True
ember,ablation,25,old_class_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.722469548433991,0.20454507997331134,0.5179244684606796,253.20798159909663,0.4827644446870085,0.5530844922343507,18.290322282376,2.1359784011745784e-06,0.0003460285009902817,True
ember,ablation,25,new_class_accuracy,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.8734504933973815,0.9446125601107338,-0.07116206671335235,-7.53346607047129,-0.12192121354481311,-0.020402919881891572,-1.740757711494443,0.017653892162607376,0.6178862256912582,False
ember,ablation,25,mmd_real_generated,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.0024696588516235,0.08015568256378171,-0.0776860237121582,96.91892231139279,-0.09676765338311498,-0.05860439404120142,-5.055120577767409,0.0003491067729273034,0.028722348928988797,True
ember,ablation,25,wasserstein_real_generated,component_effect,Real anchoring effect,hybrid_random_buffer,wgan_projection_generated_only,5,"42,43,44,45,46",0.05407281219959255,0.27074389457702636,-0.21667108237743382,80.02805851483056,-0.2380304076484232,-0.19531175710644444,-12.59556090965601,9.45583799653823e-06,0.0014561990514668874,True
