dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz
az_class,ablation,100,wasserstein_real_generated,main_ablation_reference,hybrid_random_buffer vs hybrid_diversity_buffer,hybrid_random_buffer,hybrid_diversity_buffer,5,"42,43,44,45,46",0.05320556163787839,0.05560546666383738,-0.0023999050259589996,4.315951596032111,-0.013785690295388318,0.008985880243470318,-0.2617189415860921
az_class,ablation,100,mean_acc_seen,main_ablation_reference,hybrid_random_buffer vs plus_kd,hybrid_random_buffer,plus_kd,5,"42,43,44,45,46",0.733612271481358,0.6884136193880664,0.04519865209329166,6.5656243311207,0.03314473324287367,0.05725257094370965,4.655874970456711
az_class,ablation,100,final_taskwise_average_accuracy,main_ablation_reference,hybrid_random_buffer vs plus_kd,hybrid_random_buffer,plus_kd,5,"42,43,44,45,46",0.7129473423550008,0.6454140104414033,0.06753333191359749,10.463567697796165,0.04437865006802107,0.09068801375917392,3.621457961508511
az_class,ablation,100,forgetting,main_ablation_reference,hybrid_random_buffer vs plus_kd,hybrid_random_buffer,plus_kd,5,"42,43,44,45,46",0.12891016499330907,0.19705917409512813,-0.06814900910181906,34.583017722849526,-0.09852475792270465,-0.03777326028093348,-2.7857147362506534
az_class,ablation,100,macro_f1,main_ablation_reference,hybrid_random_buffer vs plus_kd,hybrid_random_buffer,plus_kd,5,"42,43,44,45,46",0.6404831115244924,0.5652268075579115,0.07525630396658083,13.31435504478799,0.05692535583208477,0.09358725210107688,5.097556470488122
az_class,ablation,100,balanced_accuracy,main_ablation_reference,hybrid_random_buffer vs plus_kd,hybrid_random_buffer,plus_kd,5,"42,43,44,45,46",0.7959336956981928,0.7610352099121424,0.03489848578605046,4.585659813306054,0.02509332509945242,0.0447036464726485,4.419325167367453
az_class,ablation,100,old_class_accuracy,main_ablation_reference,hybrid_random_buffer vs plus_kd,hybrid_random_buffer,plus_kd,5,"42,43,44,45,46",0.6743425697823894,0.5846709573959069,0.08967161238648247,15.33710735109454,0.06726595036806468,0.11207727440490026,4.969369468737552
az_class,ablation,100,new_class_accuracy,main_ablation_reference,hybrid_random_buffer vs plus_kd,hybrid_random_buffer,plus_kd,5,"42,43,44,45,46",0.7388623782823497,0.72371803584617,0.015144342436179658,2.0925749651206274,-0.000519070840961677,0.03080775571332099,1.200516416617569
az_class,ablation,100,mmd_real_generated,main_ablation_reference,hybrid_random_buffer vs plus_kd,hybrid_random_buffer,plus_kd,5,"42,43,44,45,46",0.002566123008728,0.0028406381607055,-0.00027451515197750005,9.663854966636139,-0.0017395537604085547,0.0011905234564535548,-0.23265979422680683
az_class,ablation,100,wasserstein_real_generated,main_ablation_reference,hybrid_random_buffer vs plus_kd,hybrid_random_buffer,plus_kd,5,"42,43,44,45,46",0.05320556163787839,0.04178097173571582,0.011424589902162562,-27.34400237129102,0.0007050082259098603,0.022144171578415264,1.3233260778434046
az_class,ablation,100,mean_acc_seen,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.3213283259658336,0.13780366910759403,0.18352465685823963,133.17835297618063,0.132698214091691,0.23435109962478826,4.483413491088383
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.28016532717304365,0.08946671364087032,0.19069861353217338,213.15035030532079,0.08040721888903604,0.30099000817531074,2.146891003567577
az_class,ablation,100,forgetting,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.7313132700246685,0.9629409859866392,-0.2316277159619708,24.054196397574934,-0.34465672544271386,-0.11859870648122772,-2.5445131052408807
