dataset,seed,old_task,acquisition_accuracy,best_pre_final_accuracy,stage_of_best_pre_final_accuracy,final_accuracy,forgetting_contribution_manuscript,historical_contribution,final80_contribution
ember,50,6,0.886128,0.886128,6,0.84472,0.041408,0.041408,0.041408
ember,50,7,0.808296,0.808296,7,0.738789,0.06950699999999999,0.06950699999999999,0.06950699999999999
ember,50,8,0.908902,0.908902,8,0.829035,0.07986700000000002,0.07986700000000002,0.07986700000000002
ember,50,9,0.827449,0.827449,9,0.674732,0.152717,0.152717,0.152717
ember,50,10,0.864926,0.864926,10,0.781522,0.08340399999999992,0.08340399999999992,0.08340399999999992
ember,51,1,0.931,0.931,1,0.830807,0.10019300000000009,0.10019300000000009,0.10019300000000009
ember,51,2,0.87858,0.87858,2,0.664376,0.21420400000000006,0.21420400000000006,0.21420400000000006
ember,51,3,0.832686,0.832686,3,0.604422,0.22826400000000002,0.22826400000000002,0.22826400000000002
ember,51,4,0.932131,0.932131,4,0.906357,0.025774000000000075,0.025774000000000075,0.025774000000000075
ember,51,5,0.961836,0.961836,5,0.940691,0.02114499999999997,0.02114499999999997,0.02114499999999997
ember,51,6,0.878571,0.904762,8,0.866667,0.03809499999999999,0.03809499999999999,0.03809499999999999
ember,51,7,0.887615,0.887615,7,0.833716,0.05389900000000003,0.05389900000000003,0.05389900000000003
ember,51,8,0.750659,0.750659,8,0.608663,0.141996,0.141996,0.141996
ember,51,9,0.784902,0.784902,9,0.733195,0.05170699999999995,0.05170699999999995,0.05170699999999995
ember,51,10,0.798718,0.798718,10,0.74359,0.055128000000000066,0.055128000000000066,0.055128000000000066
az_class,42,1,0.83367,0.83367,1,0.687099,0.146571,0.146571,0.146571
az_class,42,2,0.968404,0.968404,2,0.90133,0.06707400000000008,0.06707400000000008,0.06707400000000008
az_class,42,3,0.904664,0.904664,3,0.739369,0.16529499999999997,0.16529499999999997,0.16529499999999997
az_class,42,4,0.780169,0.780169,4,0.622214,0.15795499999999996,0.15795499999999996,0.15795499999999996
az_class,42,5,0.71176,0.71176,5,0.608753,0.10300699999999996,0.10300699999999996,0.10300699999999996
az_class,42,6,0.905288,0.905288,6,0.889503,0.015784999999999938,0.015784999999999938,0.015784999999999938
az_class,42,7,0.7265,0.7265,7,0.544639,0.18186100000000005,0.18186100000000005,0.18186100000000005
az_class,42,8,0.812952,0.812952,8,0.724313,0.08863900000000002,0.08863900000000002,0.08863900000000002
az_class,42,9,0.938697,0.938697,9,0.877395,0.06130199999999997,0.06130199999999997,0.06130199999999997
az_class,42,10,0.994093,0.994093,10,0.994093,0.0,0.0,0.0
az_class,43,1,0.842185,0.842185,1,0.705047,0.13713799999999998,0.13713799999999998,0.13713799999999998
az_class,43,2,0.80557,0.80557,2,0.667848,0.137722,0.137722,0.137722
az_class,43,3,0.662139,0.662139,3,0.578947,0.08319200000000004,0.08319200000000004,0.08319200000000004
az_class,43,4,0.944948,0.944948,4,0.861324,0.08362400000000003,0.08362400000000003,0.08362400000000003
az_class,43,5,0.798742,0.798742,5,0.695178,0.10356399999999999,0.10356399999999999,0.10356399999999999
az_class,43,6,0.910628,0.913043,7,0.886473,0.026570000000000094,0.026570000000000094,0.026570000000000094
az_class,43,7,0.823142,0.823142,7,0.787624,0.03551800000000005,0.03551800000000005,0.03551800000000005
az_class,43,8,0.713087,0.713087,8,0.614933,0.09815400000000007,0.09815400000000007,0.09815400000000007
az_class,43,9,0.685575,0.685575,9,0.570502,0.11507300000000009,0.11507300000000009,0.11507300000000009
az_class,43,10,0.913043,0.913043,10,0.954348,-0.041304999999999925,-0.041304999999999925,0.0
az_class,44,1,0.85594,0.85594,1,0.721417,0.13452300000000006,0.13452300000000006,0.13452300000000006
az_class,44,2,0.902991,0.902991,2,0.734842,0.168149,0.168149,0.168149
az_class,44,3,0.949524,0.949524,3,0.811429,0.13809500000000008,0.13809500000000008,0.13809500000000008
az_class,44,4,0.976923,0.984615,7,0.969231,0.015384000000000064,0.015384000000000064,0.015384000000000064
az_class,44,5,0.772405,0.772405,5,0.678793,0.09361200000000003,0.09361200000000003,0.09361200000000003
az_class,44,6,0.935294,0.935294,6,0.911765,0.02352899999999991,0.02352899999999991,0.02352899999999991
az_class,44,7,0.742076,0.751981,8,0.719493,0.03248799999999996,0.03248799999999996,0.03248799999999996
