dataset,method,seed,source_class_order,support_source,task_supports,full_test_support,all_100_classes_once,schedule_valid,matches_v15_4_supports
AZ-Class,DER++ (standard),45,historical_outputs/derpp/az_class/seed_45/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[12277, 1725, 751, 425, 2313, 3022, 1587, 1196, 1479, 1620, 2164]",28559,true,true,true
AZ-Class,protocol-matched adapted MalCL baseline,45,historical_outputs/adapted_malcl/az_class/seed_45/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[12277, 1725, 751, 425, 2313, 3022, 1587, 1196, 1479, 1620, 2164]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),45,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[12277, 1725, 751, 425, 2313, 3022, 1587, 1196, 1479, 1620, 2164]",28559,true,true,true
AZ-Class,ER (standard),46,historical_outputs/er/az_class/seed_46/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[15526, 2246, 355, 1037, 2169, 528, 1427, 1256, 2403, 345, 1267]",28559,true,true,true
AZ-Class,DER++ (standard),46,historical_outputs/derpp/az_class/seed_46/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[15526, 2246, 355, 1037, 2169, 528, 1427, 1256, 2403, 345, 1267]",28559,true,true,true
AZ-Class,protocol-matched adapted MalCL baseline,46,historical_outputs/adapted_malcl/az_class/seed_46/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[15526, 2246, 355, 1037, 2169, 528, 1427, 1256, 2403, 345, 1267]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),46,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[15526, 2246, 355, 1037, 2169, 528, 1427, 1256, 2403, 345, 1267]",28559,true,true,true
AZ-Class,ER (standard),47,historical_outputs/er/az_class/seed_47/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[16691, 1385, 1290, 1356, 1238, 709, 628, 1265, 1163, 1227, 1607]",28559,true,true,true
AZ-Class,DER++ (standard),47,historical_outputs/derpp/az_class/seed_47/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[16691, 1385, 1290, 1356, 1238, 709, 628, 1265, 1163, 1227, 1607]",28559,true,true,true
AZ-Class,protocol-matched adapted MalCL baseline,47,historical_outputs/adapted_malcl/az_class/seed_47/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[16691, 1385, 1290, 1356, 1238, 709, 628, 1265, 1163, 1227, 1607]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),47,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[16691, 1385, 1290, 1356, 1238, 709, 628, 1265, 1163, 1227, 1607]",28559,true,true,true
AZ-Class,ER (standard),48,historical_outputs/er/az_class/seed_48/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18212, 952, 659, 1289, 639, 423, 278, 2030, 2152, 746, 1179]",28559,true,true,true
AZ-Class,DER++ (standard),48,historical_outputs/derpp/az_class/seed_48/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18212, 952, 659, 1289, 639, 423, 278, 2030, 2152, 746, 1179]",28559,true,true,true
