dataset,method,seed,stage,sw_seen_accuracy,tm_seen_accuracy,cumulative_test_support,observed_tasks,definition_version
EMBER,protocol-matched adapted MalCL baseline,44,9,56.00703781163895,47.68969647170393,30123,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,10,55.363824022706744,44.52865487513117,31004,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,11,36.12330880607643,32.17150375918519,33704,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,1,74.49234914830141,74.49234914830141,20782,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,2,72.11744935113434,62.53507392214417,21422,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,3,71.29064127896532,56.194158422902504,22268,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,4,67.27453994101276,52.69145705888053,24073,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,5,65.70672478206725,51.10825578236724,25696,5,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,6,64.04878604810213,43.60092360296291,26319,6,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,7,60.75071549130403,41.887920357267014,27254,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,8,60.642883812497885,43.68571818650177,29461,8,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,9,59.375308236067724,40.35708103650547,30415,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,10,59.241161253233685,39.94962463103218,31311,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,11,44.16686446712556,32.935347638115196,33704,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,1,65.23931000971818,65.23931000971818,16464,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,2,65.28478352248844,74.0846922881302,19032,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,3,61.9729615547106,76.31279386195664,23670,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,4,56.74900199600798,59.28197410754608,24048,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,5,58.11727163940965,55.80031650620331,25070,5,V15.5
