dataset,method,seed,stage_id,sample_weighted_seen_accuracy,cumulative_seen_support,matrix_source,definition_version
EMBER,protocol-matched adapted MalCL baseline,46,3,61.9729615547106,23670,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,4,56.74900199600798,24048,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,5,58.11727163940965,25070,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,6,54.32721548424028,27951,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,7,50.24729739277891,28306,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,8,47.89061426411983,29108,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,9,49.99057907298078,31844,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,10,44.88757540673938,32822,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,11,47.896392119629716,33704,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,1,73.05802968960865,18525,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,2,70.82286593181234,19505,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,3,63.860582559292986,22178,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,4,59.78371934604905,23488,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,5,56.679673357737634,24859,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,6,53.995827938426125,27804,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,7,54.523709019276765,28428,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,8,41.61823716618237,28908,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,9,39.824967649662874,29366,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,10,51.29854975829304,29995,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,11,40.17920721576074,33704,adapted_malcl__ember__seed_47.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,1,73.70756600843133,18028,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,2,70.22232623449567,21365,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,3,66.45463380157258,22638,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,4,65.30043099805629,23666,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,5,63.02715193529751,24234,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,6,52.51724817662134,25365,adapted_malcl__ember__seed_48.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,7,55.438822726238335,26366,adapted_malcl__ember__seed_48.json,V15.4
