method,dataset,seed,final_taskwise_accuracy,mean_seen_accuracy,forgetting,macro_f1,weighted_f1,balanced_accuracy,final_task_macro_accuracy,final_sample_weighted_seen_accuracy,sw_aia,tm_aia,raw_result_source,raw_result_sha256,task_matrix_source,task_matrix_sha256,harmonized_metric_source,harmonized_metric_definition_version,classification_report_source,resource_measurement_source,diagnostic_source
DER++ (standard),EMBER,49,84.05035660292452,83.16666973604246,12.337658273725438,75.45675274482399,84.56358277545077,81.28627603724183,84.05035660292452,83.61322098267267,83.16666973604248,84.59326260318426,historical_outputs/derpp/ember/seed_49/full-result.json,064d0f74528bf2a6f98f3d28686f075f0da49e186d933852d9e9b3a2ba219a66,task_matrices/derpp__ember__seed_49.json,fd0d4b7cc099c69a465f99e6a121c0eafa2abecac125a23c9df688856a136f34,task_matrices/derpp__ember__seed_49.json,V15.5,historical_outputs/derpp/ember/seed_49/full-result.json,historical_outputs/derpp/ember/seed_49/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,49,45.477858360621745,59.06979214684789,19.469842522509374,41.09994214155024,54.22805789640513,50.31786870088971,45.477858360621745,53.51293615001187,59.06979214684789,55.36298790831133,historical_outputs/adapted_malcl/ember/seed_49/full-result.json,bdf89d2d925995a1260e7a177e3784365f74445ceca002ecb1763017d0f6f98a,task_matrices/adapted_malcl__ember__seed_49.json,61c74f46409ee9c1975caacfe1cf787306a9173521498b19e208c0cceddf25d6,task_matrices/adapted_malcl__ember__seed_49.json,V15.5,historical_outputs/adapted_malcl/ember/seed_49/full-result.json,historical_outputs/adapted_malcl/ember/seed_49/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),EMBER,50,75.75166813737677,84.12668767835557,11.29419,72.03972939861735,80.49151522016729,80.28952767464462,75.75165454545453,78.95500028186567,84.12668767835557,82.04927346156369,historical_outputs/anchored_hr/ember/seed_50/full-result.json,e93ac1d65fdebbd055d469186c2de75aad8b7179d96501f8ae817aca30487e38,task_matrices/anchored_hr__ember__seed_50.json,e09448af9d704a49bd6ec7795b6dfcb10a07a375b585b8e3efb601047cfa5ed1,task_matrices/anchored_hr__ember__seed_50.json,V15.5,historical_outputs/anchored_hr/ember/seed_50/full-result.json,historical_outputs/anchored_hr/ember/seed_50/full-result.json,historical_outputs/anchored_hr/ember/seed_50/full-result.json
ER (standard),EMBER,50,78.9457584716812,83.8481702271679,18.22009973233445,76.47729063131654,83.70040794129096,80.40356762089196,78.9457584716812,81.80334678376454,83.8481702271679,82.2781975383121,historical_outputs/er/ember/seed_50/full-result.json,56b40fb8a448b870eecf660049b836ee30915a94a2f2ebad043da106a61f9cb7,task_matrices/er__ember__seed_50.json,6f2f2b9fbd4842a811b2d2140ebee6152ef4084274fb49d9af8aefc23f0918be,task_matrices/er__ember__seed_50.json,V15.5,historical_outputs/er/ember/seed_50/full-result.json,historical_outputs/er/ember/seed_50/full-result.json,not_reported
DER++ (standard),EMBER,50,80.03661633789395,84.44668204159196,16.504678044116794,77.26569805556893,84.64643677891517,81.12382557395172,80.03661633789393,82.96938048896273,84.44668204159196,83.16865382309862,historical_outputs/derpp/ember/seed_50/full-result.json,cfdefefb63746dc317903efef0685dc28f101a25524e595e7edf3422eef81192,task_matrices/derpp__ember__seed_50.json,a10ee10a6a57083c90aba64cb2acba3c56c6eb093837df238115e62113243f29,task_matrices/derpp__ember__seed_50.json,V15.5,historical_outputs/derpp/ember/seed_50/full-result.json,historical_outputs/derpp/ember/seed_50/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,50,37.979230211297725,60.013235321673186,15.611685305715554,40.835474470713876,50.53134880165867,48.06569031932976,37.979230211297725,51.756468075005934,60.01323532167319,51.37570988599065,historical_outputs/adapted_malcl/ember/seed_50/full-result.json,9e473b15da369a68cbb5bba2d77308993727a9088c8ea50e49f905e82dad8fc2,task_matrices/adapted_malcl__ember__seed_50.json,311fafed42090a33882987818bd726dc555e395fe5e3930e29a22f05b3e93308,task_matrices/adapted_malcl__ember__seed_50.json,V15.5,historical_outputs/adapted_malcl/ember/seed_50/full-result.json,historical_outputs/adapted_malcl/ember/seed_50/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),EMBER,51,78.8722830063903,84.22754201890953,9.304050000000002,71.08472350735575,80.39835868317255,78.8012496549361,78.8722818181818,78.5188518988844,84.22754201890952,83.97974695461104,historical_outputs/anchored_hr/ember/seed_51/full-result.json,9fcc4591fb22758d0622d3a8659c818e8dcad175b2a719b0c6427bab56825077,task_matrices/anchored_hr__ember__seed_51.json,2f2a6f46004e31b0d2581ff7b47138c4e0e2ac9f68eabc9007bd590ef155d653,task_matrices/anchored_hr__ember__seed_51.json,V15.5,historical_outputs/anchored_hr/ember/seed_51/full-result.json,historical_outputs/anchored_hr/ember/seed_51/full-result.json,historical_outputs/anchored_hr/ember/seed_51/full-result.json
ER (standard),EMBER,51,80.61900766607967,83.24590258690954,17.091124228420135,75.07582380980973,83.85449189695986,82.22755242655954,80.61900766607967,82.94564443389508,83.24590258690955,83.47248618691664,historical_outputs/er/ember/seed_51/full-result.json,18c2b695d3fc5166f3cbdbadc9513de26fdceba1496ee1139598594aadf876e6,task_matrices/er__ember__seed_51.json,c95f91b7954aae2309c17553a14aae1ffb43a2691005ccc53b0f25acebc6e0e3,task_matrices/er__ember__seed_51.json,V15.5,historical_outputs/er/ember/seed_51/full-result.json,historical_outputs/er/ember/seed_51/full-result.json,not_reported
DER++ (standard),EMBER,51,79.36385546690443,83.72109159585158,18.15170371011806,75.91107265840711,81.84903093670741,82.59015368680633,79.36385546690443,81.39686684073108,83.72109159585156,84.36770191713843,historical_outputs/derpp/ember/seed_51/full-result.json,1f682542fda53137d6b9a3ba9b3fbc2ff855d18760dd0b0266d65f47b203838b,task_matrices/derpp__ember__seed_51.json,a448448381e2bf2c3a90d49937921348d06e919250562342d5669e0dda5bc745,task_matrices/derpp__ember__seed_51.json,V15.5,historical_outputs/derpp/ember/seed_51/full-result.json,historical_outputs/derpp/ember/seed_51/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,51,47.50338141761271,65.24277504947297,10.94162105899698,44.755722269391946,59.616626978584094,51.83810573992365,47.50338141761271,58.76157132684548,65.24277504947298,60.33498057600662,historical_outputs/adapted_malcl/ember/seed_51/full-result.json,30b9109796f6b87046c7eaf6e7f5cbcf053d2807c6ccdf6ba56e5029e428136f,task_matrices/adapted_malcl__ember__seed_51.json,afbe9b26124658ac82b540fa2cb1df493afd79bdc1b38e7d7bc99e18cc983a0e,task_matrices/adapted_malcl__ember__seed_51.json,V15.5,historical_outputs/adapted_malcl/ember/seed_51/full-result.json,historical_outputs/adapted_malcl/ember/seed_51/full-result.json,not_reported
